COUNTIES RANKED BY UNEMPLOYMENT RATE,,,,,,
MARCH 2015,,,,,,
,,,,,,
RANK,COUNTY,RATE,,RANK,COUNTY,RATE
1,Tompkins County,3.8,,29,Wayne County,6.2
2,Albany County,4.3,,33,Broome County,6.3
2,Nassau County,4.3,,33,Clinton County,6.3
4,Putnam County,4.4,,35,Greene County,6.4
4,Saratoga County,4.4,,35,Sullivan County,6.4
,,,,,,
6,Columbia County,4.6,,37,Chautauqua County,6.5
6,Rockland County,4.6,,37,Chenango County,6.5
8,Dutchess County,4.7,,37,Cortland County,6.5
8,Westchester County,4.7,,37,Madison County,6.5
10,Orange County,4.8,,37,Richmond County,6.5
,,,,,,
10,Schenectady County,4.8,,42,Cattaraugus County,6.6
12,Rensselaer County,4.9,,42,Delaware County,6.6
13,Onondaga County,5.1,,42,Schoharie County,6.6
13,Suffolk County,5.1,,45,Kings County,6.7
15,Monroe County,5.2,,46,Niagara County,6.9
,,,,,,
15,Ulster County,5.2,,46,Steuben County,6.9
17,New York County,5.4,,46,Warren County,6.9
17,Ontario County,5.4,,49,Essex County,7.2
19,Erie County,5.6,,49,Franklin County,7.2
20,Oneida County,5.7,,49,Orleans County,7.2
,,,,,,
21,Queens County,5.8,,52,Fulton County,7.4
22,Yates County,5.9,,52,Wyoming County,7.4
23,Cayuga County,6.0,,54,Montgomery County,7.5
23,Genesee County,6.0,,54,St. Lawrence County,7.5
23,Livingston County,6.0,,56,Herkimer County,7.6
,,,,,,
23,Seneca County,6.0,,57,Oswego County,7.7
27,Chemung County,6.1,,58,Schuyler County,7.8
27,Otsego County,6.1,,59,Jefferson County,8.1
29,Allegany County,6.2,,60,Bronx County,8.9
29,Tioga County,6.2,,60,Lewis County,8.9
29,Washington County,6.2,,62,Hamilton County,9.0
